party,region,result,council
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 10,5 ",Гусятинська районна рада
 Українська Народна Партія , Тернопільська область," 8,1 ",Гусятинська районна рада
" Політична партія ""Наша Україна"" ", Тернопільська область," 4,5 ",Козівська районна рада
 Політична партія Народний Рух України , Тернопільська область, 3 ,Козівська районна рада
" Політична партія ""Сильна Україна"" ", Тернопільська область, 3 ,Козівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 6,8 ",Заліщицька районна рада
 Українська Народна Партія , Тернопільська область," 5,5 ",Заліщицька районна рада
 Політична партія Народний Рух України , Тернопільська область," 2,7 ",Заліщицька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 19,3 ",Зборівська районна рада
" Політична партія ""Наша Україна"" ", Тернопільська область," 15,9 ",Зборівська районна рада
 Партія регіонів , Тернопільська область," 10,2 ",Зборівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Тернопільська область," 19,1 ",Борщівська районна рада
" Політична партія ""Фронт Змін""  ", Тернопільська область," 12,4 ",Борщівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 10,1 ",Борщівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Тернопільська область," 16,7 ",Бучацька районна рада
 Аграрна партія України , Тернопільська область," 15,4 ",Бучацька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 12,8 ",Бучацька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Тернопільська область," 15,8 ",Збаразька районна рада
 Українська Народна Партія , Тернопільська область," 15,8 ",Збаразька районна рада
" Політична партія ""Фронт Змін""  ", Тернопільська область," 10,5 ",Збаразька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 21,4 ",Лохвицька районна рада
 Соціалістична партія України , Полтавська область," 9,5 ",Лохвицька районна рада
 Народна Партія , Полтавська область," 7,1 ",Лохвицька районна рада
 Політична партія Народний Рух України , Тернопільська область," 4,7 ",Гусятинська районна рада
" Політична партія ""Фронт Змін""  ", Тернопільська область," 3,5 ",Гусятинська районна рада
 Народна Партія , Тернопільська область," 1,5 ",Козівська районна рада
" Політична партія ""Сильна Україна"" ", Тернопільська область," 2,7 ",Заліщицька районна рада
 Народна Партія , Тернопільська область," 1,4 ",Заліщицька районна рада
" Партія  Політичне об’єднання ""Рідна Вітчизна"" ", Тернопільська область," 1,4 ",Заліщицька районна рада
 Українська Народна Партія , Тернопільська область, 8 ,Зборівська районна рада
 Єдиний Центр , Тернопільська область," 6,8 ",Зборівська районна рада
 Народна Партія , Тернопільська область," 6,8 ",Зборівська районна рада
" Політична партія ""Сильна Україна"" ", Тернопільська область, 9 ,Борщівська районна рада
 Українська Народна Партія , Тернопільська область," 5,6 ",Борщівська районна рада
 Народна Партія , Тернопільська область," 3,4 ",Борщівська районна рада
" Політична партія ""Наша Україна"" ", Тернопільська область," 11,5 ",Бучацька районна рада
 Українська Народна Партія , Тернопільська область, 9 ,Бучацька районна рада
 Політична партія Народний Рух України , Тернопільська область," 6,4 ",Бучацька районна рада
 Народна Партія , Тернопільська область," 9,2 ",Збаразька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Тернопільська область," 9,2 ",Збаразька районна рада
" Політична партія ""Сильна Україна"" ", Тернопільська область," 2,6 ",Збаразька районна рада
 Політична партія Конгрес Українських Націоналістів , Тернопільська область," 1,3 ",Збаразька районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 4,8 ",Лохвицька районна рада
 Партія промисловців і підприємців України , Полтавська область," 2,4 ",Лохвицька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Полтавська область," 2,4 ",Лохвицька районна рада
" Політична партія ""Козацька Українська Партія"" ", Полтавська область," 2,4 ",Лохвицька районна рада
 Народна Партія , Тернопільська область," 2,3 ",Гусятинська районна рада
 Соціалістична партія України , Тернопільська область," 2,3 ",Гусятинська районна рада
 Аграрна партія України , Тернопільська область," 1,2 ",Гусятинська районна рада
 Партія промисловців і підприємців України , Тернопільська область," 1,4 ",Заліщицька районна рада
" Політична партія ""Фронт Змін""  ", Тернопільська область," 3,4 ",Зборівська районна рада
 Політична партія Народний Рух України , Тернопільська область," 2,3 ",Зборівська районна рада
" Політична партія ""Громадянська позиція""  ", Тернопільська область," 1,1 ",Зборівська районна рада
" Українська республіканська партія ""Собор""  ", Тернопільська область," 1,1 ",Зборівська районна рада
 Демократична партія України , Тернопільська область," 2,2 ",Борщівська районна рада
" Політична партія ""Наша Україна"" ", Тернопільська область," 2,2 ",Борщівська районна рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Тернопільська область," 2,2 ",Борщівська районна рада
 Народна Партія , Тернопільська область," 5,1 ",Бучацька районна рада
" Політична партія ""Фронт Змін""  ", Тернопільська область," 2,6 ",Бучацька районна рада
 Соціалістична партія України , Тернопільська область," 1,3 ",Бучацька районна рада
 Партія регіонів , Полтавська область," 36,8 ",Кременчуцька районна рада
 Партія регіонів , Полтавська область," 35,7 ",Кобеляцька районна рада
 Соціалістична партія України , Тернопільська область," 1,3 ",Збаразька районна рада
 Партія регіонів , Полтавська область, 50 ,Диканська районна рада
" Політична партія ""Наша Україна"" ", Полтавська область," 2,4 ",Лохвицька районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 2,4 ",Лохвицька районна рада
 Партія регіонів , Полтавська область," 72,5 ",Котелевська районна рада
 Партія регіонів , Полтавська область," 30,8 ",Карлівська районна рада
 Партія регіонів , Полтавська область," 26,5 ",Гребінківська районна рада
 Партія регіонів , Полтавська область," 44,4 ",Козельщинська районна рада
" Партія  Політичне об’єднання ""Рідна Вітчизна"" ", Тернопільська область," 1,1 ",Борщівська районна рада
 Партія відродження села , Тернопільська область," 1,1 ",Борщівська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 26,3 ",Кременчуцька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 13,2 ",Кременчуцька районна рада
 Комуністична партія України , Полтавська область," 7,9 ",Кременчуцька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 28,6 ",Кобеляцька районна рада
 Соціалістична партія України , Полтавська область," 16,1 ",Кобеляцька районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 12,5 ",Кобеляцька районна рада
 Комуністична партія України , Полтавська область," 1,8 ",Кобеляцька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 19,2 ",Диканська районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 11,5 ",Диканська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 7,7 ",Диканська районна рада
 Єдиний Центр , Полтавська область," 3,8 ",Диканська районна рада
 Народна Партія , Полтавська область," 12,5 ",Котелевська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область, 10 ,Котелевська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 2,5 ",Котелевська районна рада
 Соціалістична партія України , Полтавська область," 2,5 ",Котелевська районна рада
 Партія регіонів , Полтавська область," 37,5 ",Зіньківська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 19,2 ",Карлівська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 19,2 ",Карлівська районна рада
 Соціалістична партія України , Полтавська область," 9,6 ",Карлівська районна рада
 Аграрна партія України , Полтавська область," 5,8 ",Карлівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 23,5 ",Гребінківська районна рада
 Соціалістична партія України , Полтавська область," 20,6 ",Гребінківська районна рада
 Комуністична партія України , Полтавська область," 11,8 ",Гребінківська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 27,8 ",Козельщинська районна рада
 Соціалістична партія України , Полтавська область," 11,1 ",Козельщинська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 8,3 ",Козельщинська районна рада
 Народна Партія , Полтавська область," 5,6 ",Козельщинська районна рада
" Політична партія ""Наша Україна"" ", Полтавська область," 7,9 ",Кременчуцька районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 5,3 ",Кременчуцька районна рада
 Соціалістична партія України , Полтавська область," 2,6 ",Кременчуцька районна рада
 Народна Партія , Полтавська область," 1,8 ",Кобеляцька районна рада
" Політична партія ""Наша Україна"" ", Полтавська область," 1,8 ",Кобеляцька районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 1,8 ",Кобеляцька районна рада
 Народна Партія , Полтавська область," 3,8 ",Диканська районна рада
 Українська Народна Партія , Полтавська область," 3,8 ",Диканська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 35,4 ",Зіньківська районна рада
 Народна Партія , Полтавська область," 6,3 ",Зіньківська районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 5,8 ",Карлівська районна рада
 Комуністична партія України , Полтавська область," 3,8 ",Карлівська районна рада
" Партія ""ВІДРОДЖЕННЯ"" ", Полтавська область," 11,8 ",Гребінківська районна рада
 Народна Партія , Полтавська область," 5,9 ",Гребінківська районна рада
 Комуністична партія України , Полтавська область," 2,8 ",Козельщинська районна рада
 Партія регіонів , Полтавська область," 57,4 ",Глобинська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область, 26 ,Рівненська районна рада
 Партія регіонів , Рівненська область, 19 ,Острозька районна рада
 Комуністична партія України , Полтавська область," 4,2 ",Зіньківська районна рада
" Політична партія ""Наша Україна"" ", Полтавська область," 4,2 ",Зіньківська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 4,2 ",Зіньківська районна рада
 Соціалістична партія України , Полтавська область," 4,2 ",Зіньківська районна рада
" Політична партія ""Нова політика"" ", Полтавська область," 3,8 ",Карлівська районна рада
 Народна Партія , Полтавська область," 1,9 ",Карлівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 11,1 ",Глобинська районна рада
 Аграрна партія України , Полтавська область," 9,3 ",Глобинська районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 9,3 ",Глобинська районна рада
 Партія регіонів , Рівненська область, 14 ,Рівненська районна рада
 Єдиний Центр , Рівненська область, 8 ,Рівненська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область, 8 ,Рівненська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область, 8 ,Рівненська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область, 19 ,Острозька районна рада
 Народна Партія , Рівненська область," 16,7 ",Острозька районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 11,9 ",Острозька районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 9,5 ",Острозька районна рада
 Партія регіонів , Рівненська область," 30,8 ",Корецька районна рада
" Політична партія ""Нова політика"" ", Полтавська область," 2,1 ",Зіньківська районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 2,1 ",Зіньківська районна рада
 Партія регіонів , Полтавська область," 57,1 ",Гадяцька районна рада
 Народна Партія , Рівненська область, 19 ,Радивилівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область, 20 ,Млинівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область, 40 ,Костопільська районна рада
 Комуністична партія України , Полтавська область," 5,6 ",Глобинська районна рада
" Політична партія ""Третя Сила""  ", Полтавська область," 3,7 ",Глобинська районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 1,9 ",Глобинська районна рада
 Соціалістична партія України , Полтавська область," 1,9 ",Глобинська районна рада
 Українська Народна Партія , Рівненська область, 8 ,Рівненська районна рада
 Аграрна партія України , Рівненська область, 6 ,Рівненська районна рада
 Народна Партія , Рівненська область, 6 ,Рівненська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область, 6 ,Рівненська районна рада
 Українська Народна Партія , Рівненська область," 7,1 ",Острозька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 4,8 ",Острозька районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 4,8 ",Острозька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 19,2 ",Корецька районна рада
 Партія Зелених України , Рівненська область," 11,5 ",Корецька районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 11,5 ",Корецька районна рада
 Народна Партія , Рівненська область," 9,6 ",Корецька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 12,5 ",Гадяцька районна рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 10,7 ",Гадяцька районна рада
 Комуністична партія України , Полтавська область," 5,4 ",Гадяцька районна рада
 Соціалістична партія України , Полтавська область," 5,4 ",Гадяцька районна рада
 Партія регіонів , Рівненська область," 16,7 ",Радивилівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 16,7 ",Радивилівська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 11,9 ",Радивилівська районна рада
 Партія регіонів , Рівненська область," 18,3 ",Млинівська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область, 15 ,Млинівська районна рада
 Народна Партія , Рівненська область, 10 ,Млинівська районна рада
 Народна Партія , Рівненська область," 17,5 ",Костопільська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 12,5 ",Костопільська районна рада
 Партія регіонів , Рівненська область, 10 ,Костопільська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область, 5 ,Костопільська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область, 5 ,Костопільська районна рада
 Політична партія Народний Рух України , Рівненська область, 4 ,Рівненська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область, 4 ,Рівненська районна рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Рівненська область, 2 ,Рівненська районна рада
" Партія ""Демократичний Союз"" ", Рівненська область," 2,4 ",Острозька районна рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Рівненська область," 2,4 ",Острозька районна рада
 Соціалістична партія України , Рівненська область," 2,4 ",Острозька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 3,8 ",Корецька районна рада
 Політична партія Народний Рух України , Рівненська область," 3,8 ",Корецька районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 3,8 ",Корецька районна рада
 Аграрна партія України , Рівненська область," 1,9 ",Корецька районна рада
 Єдиний Центр , Рівненська область," 1,9 ",Корецька районна рада
 Українська Народна Партія , Рівненська область," 1,9 ",Корецька районна рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 3,6 ",Гадяцька районна рада
 Українська Народна Партія , Полтавська область," 3,6 ",Гадяцька районна рада
" Політична партія ""Наша Україна"" ", Полтавська область," 1,8 ",Гадяцька районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 9,5 ",Радивилівська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 9,5 ",Радивилівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 7,1 ",Радивилівська районна рада
 Соціалістична партія України , Рівненська область," 4,8 ",Радивилівська районна рада
 Українська Народна Партія , Рівненська область," 4,8 ",Радивилівська районна рада
 Соціалістична партія України , Рівненська область, 10 ,Млинівська районна рада
 Єдиний Центр , Рівненська область," 8,3 ",Млинівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 8,3 ",Млинівська районна рада
 Українська Народна Партія , Рівненська область, 5 ,Костопільська районна рада
" Політична партія ""Громадянська позиція""  ", Рівненська область," 2,5 ",Костопільська районна рада
" Політична партія ""Українська платформа"" ", Рівненська область," 2,5 ",Костопільська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 3,3 ",Млинівська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 3,3 ",Млинівська районна рада
" Політична партія ""За Україну!""  ", Рівненська область," 1,7 ",Млинівська районна рада
 Українська Народна Партія , Рівненська область," 1,7 ",Млинівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 22,7 ",Здолбунівська районна рада
 Партія регіонів , Рівненська область," 26,5 ",Зарічненська районна рада
 Народна Партія , Рівненська область," 22,9 ",Дубровицька районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 22,9 ",Дубенська районна рада
 Народна Партія , Рівненська область," 15,9 ",Здолбунівська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 15,9 ",Здолбунівська районна рада
 Партія регіонів , Рівненська область," 11,4 ",Здолбунівська районна рада
 Народна Партія , Рівненська область, 25 ,Демидівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 26,5 ",Зарічненська районна рада
 Народна Партія , Рівненська область," 20,6 ",Зарічненська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 17,6 ",Зарічненська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 8,8 ",Зарічненська районна рада
 Партія регіонів , Рівненська область," 18,8 ",Дубровицька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 18,8 ",Дубровицька районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 12,5 ",Дубровицька районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 6,3 ",Дубровицька районна рада
 Комуністична партія України , Рівненська область," 4,2 ",Дубровицька районна рада
 Партія регіонів , Рівненська область," 29,2 ",Гощанська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область, 25 ,Володимирецька районна рада
 Партія регіонів , Харківська область," 55,9 ",Ізюмська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 16,7 ",Дубенська районна рада
 Партія регіонів , Рівненська область," 12,5 ",Дубенська районна рада
 Народна Партія , Рівненська область," 10,4 ",Дубенська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 10,4 ",Дубенська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 9,1 ",Здолбунівська районна рада
 Політична партія Народний Рух України , Рівненська область," 6,8 ",Здолбунівська районна рада
 Українська Народна Партія , Рівненська область," 6,8 ",Здолбунівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 4,5 ",Здолбунівська районна рада
" Партія ""ВІДРОДЖЕННЯ"" ", Рівненська область," 2,3 ",Здолбунівська районна рада
 Партія регіонів , Рівненська область," 20,8 ",Демидівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 20,8 ",Демидівська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 12,5 ",Демидівська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 8,3 ",Демидівська районна рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Рівненська область," 4,2 ",Дубровицька районна рада
 Соціалістична партія України , Рівненська область," 4,2 ",Дубровицька районна рада
 Українська Народна Партія , Рівненська область," 4,2 ",Дубровицька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 2,1 ",Дубровицька районна рада
 Народна Партія , Рівненська область," 12,5 ",Гощанська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Рівненська область," 12,5 ",Гощанська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 10,4 ",Гощанська районна рада
 Єдиний Центр , Рівненська область," 8,3 ",Гощанська районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 6,3 ",Гощанська районна рада
 Українська Народна Партія , Рівненська область," 20,3 ",Володимирецька районна рада
 Партія регіонів , Рівненська область," 14,1 ",Володимирецька районна рада
" Політична партія ""Наша Україна"" ", Рівненська область," 12,5 ",Володимирецька районна рада
 Народна Партія , Рівненська область," 10,9 ",Володимирецька районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 14,7 ",Ізюмська районна рада
 Комуністична партія України , Харківська область," 11,8 ",Ізюмська районна рада
 Партія Пенсіонерів України , Харківська область," 5,9 ",Ізюмська районна рада
" Політична партія ""Сильна Україна"" ", Харківська область," 5,9 ",Ізюмська районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 8,3 ",Дубенська районна рада
 Політична партія Народний Рух України , Рівненська область," 6,3 ",Дубенська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 4,2 ",Дубенська районна рада
 Єдиний Центр , Рівненська область," 2,1 ",Дубенська районна рада
" Політична партія ""Громадянська позиція""  ", Рівненська область," 2,1 ",Дубенська районна рада
" Політична партія ""За Україну!""  ", Рівненська область," 2,3 ",Здолбунівська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 2,3 ",Здолбунівська районна рада
" Партія ""ВІДРОДЖЕННЯ"" ", Рівненська область," 4,2 ",Демидівська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 4,2 ",Демидівська районна рада
 Українська Народна Партія , Рівненська область," 4,2 ",Демидівська районна рада
 Політична партія Народний Рух України , Рівненська область," 2,1 ",Дубровицька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 4,2 ",Гощанська районна рада
 Політична партія Народний Рух України , Рівненська область," 4,2 ",Гощанська районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 4,2 ",Гощанська районна рада
 Комуністична партія України , Рівненська область," 2,1 ",Гощанська районна рада
" Партія ""Демократичний Союз"" ", Рівненська область," 2,1 ",Гощанська районна рада
" Політична партія ""Сильна Україна"" ", Рівненська область," 6,3 ",Володимирецька районна рада
 Політична партія Народний Рух України , Рівненська область," 3,1 ",Володимирецька районна рада
" Політична партія ""Фронт Змін""  ", Рівненська область," 3,1 ",Володимирецька районна рада
 Комуністична партія України , Рівненська область," 1,6 ",Володимирецька районна рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Рівненська область," 1,6 ",Володимирецька районна рада
 Соціалістична партія України , Харківська область," 5,9 ",Ізюмська районна рада
" Політична партія ""За Україну!""  ", Рівненська область," 2,1 ",Дубенська районна рада
 Українська Народна Партія , Рівненська область," 2,1 ",Дубенська районна рада
 Соціалістична партія України , Рівненська область," 2,1 ",Гощанська районна рада
 Українська Народна Партія , Рівненська область," 2,1 ",Гощанська районна рада
 Українська соціал-демократична партія , Рівненська область," 1,6 ",Володимирецька районна рада
 Партія регіонів , Харківська область," 53,6 ",Золочівська районна рада
 Комуністична партія України , Харківська область," 17,9 ",Золочівська районна рада
 Соціалістична партія України , Харківська область," 14,3 ",Золочівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 7,1 ",Золочівська районна рада
 Народна Партія , Харківська область," 3,6 ",Золочівська районна рада
 Народно-демократична партія (НДП) , Харківська область," 3,6 ",Золочівська районна рада
 Партія регіонів , Харківська область," 78,1 ",Зміївська районна рада
 Партія регіонів , Харківська область, 80 ,Зачепилівська районна рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 12,5 ",Зміївська районна рада
